Tweet Datetime,text,location
2021-10-13 12:55:45,pas pertama kali ptm WKWKWKWKWKW https://t.co/bi8OcnUP5U,she/they
2021-10-13 12:55:39,"pengen ptm lagi,tpi rada kurang srek sama lingkungan skolah nya😩jujur masi pd kaku bgt😭👎",
2021-10-13 12:55:28,@inosukesmaid ak blum ptm hdh,
2021-10-13 12:55:08,besok ptm tp gue malah demam 🤒🤒🤒,cb tebak 
2021-10-13 12:54:50,taa mau ptm ntar lagi tapi takut tapi seneng juga gak ngerti sjakajaja😭,
2021-10-13 12:54:29,ko tbtb jumat uda mau ptm aja ya..,rant — she/her 
2021-10-13 12:54:28,"@convomf Milih amannya aja nder, aku juga bukan dokter jadi gatau bole dipercepat apa engga, tp saranku sesuai jadwal aja, gapapa ptm kan bisa izin jelasin ke gurunya juga",
2021-10-13 12:54:09,@JILOVELIS12 hari ini ptm ga?,
2021-10-13 12:53:32,"@yuutasdfghjkl seru gak? aku hari ini harusnya ptm juga, cuman absen genap jadinya ttp dirumah. ya sama aja sih daring gitu.","anicyber, she/they"
2021-10-13 12:53:03,@inosukesmaid ak belum ptm ak diem,read carrd & pinned byf!
2021-10-13 12:53:00,-dips! cara tau jurusan yang masuk ptm dimana si??,RULES etc.➡️
2021-10-13 12:52:33,@todayisharuto sal hari ini ptm ga?,
2021-10-13 12:52:33,"Kangen maen obey me,pdhl bru sehari ga maen tpi kgn bgt ma mereka😭ini semua gr gr ptm dan tugas yg byk😫",ghibli world
2021-10-13 12:52:13,Helo smbut ak dalam perkumpulan murid yang sudah ptm,"Waterloo, IA"
2021-10-13 12:52:10,@deonnu_sunoo hmm iya ya udh mulai ptm ya emg lagi sibuk sibuknya,she/her 04l
2021-10-13 12:51:45,@rriiivvaaa hari ini ptm ga?,
2021-10-13 12:51:36,"@neywoshi ak msih 2 minggu lgi nie, kmu ptm hari apa aja",
2021-10-13 12:51:21,IHHH LUCU cocok ternyata😭😭😭 besok bawa ptm y/n? https://t.co/w6thKs5V8G,TBZ & AESPA
2021-10-13 12:51:15,"@izanaslave Malemm, tdi dapet sesi ptm nih hbu?",harsh words | she/they 
2021-10-13 12:50:57,@TREALVME hari ini ptm ga?,
2021-10-13 12:50:49,@haruharuuwoos LIAAAAA😭😭😭😭 hari ini ptm ga?,
2021-10-13 12:50:41,takut ptm 😭😭,디오 하트
2021-10-13 12:50:39,@lightlightsun hari ini ptm ga?,
2021-10-13 12:50:11,-dips! kalian pada daftar kuliah ptm?,RULES etc.➡️
2021-10-13 12:49:37,@Lintangydm ptm tiap hari apa aja tang?,
2021-10-13 12:49:12,"Tanggal 18 ptm, apa gw bisa bagi waktu. 😐",any pronouns. 
2021-10-13 12:48:58,"Males bngt bsk ptm, mana fisika sama kimia jadi satu😩",
2021-10-13 12:48:30,"Ih baru ngeh jadwal ptm jadi balik lagi sampe hari jum'at lagi, gk sampe hari sabtu 😄😄",she/her
2021-10-13 12:46:56,"sch! hai ada yang sama ngga kayak aku pasti ada lah ya, yang udah ptm tapi gaada temen sama sekali, terus satu kelas udah ngesirkel tapi kalian gadapet sirkel samsek, normal ga sih? kalo seterusnya begini gapapa kan?",RULES & Links 👉
2021-10-13 12:46:47,"@bertanyarl Vaksin gratis swab bayar 

Rata2 jaminan kemana2/ptm harus vaksin tapi gk harus tes swab",
2021-10-13 12:46:22,"Besok gw PTM anjir baru inget, gw blom kenal sama anak 1 kelas, kalo mereka liat gimana😭",(｡◕‿◕｡)➜
